#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1669073398 898614942 769430484 238016383 209346617 83585998 76887911 825600 930308 91180.93 93847.34 3941.54 2880.52
1669073408 898614942 769430484 238016383 209346617 83586053 76887954 825600 930308 91181.72 93846.27 3939.60 2880.71
1669073419 898614942 769430484 238016383 209346617 83586102 76888007 825600 930308 91181.70 93846.92 3939.62 2881.09
1669073429 898614942 769430484 238016383 209346617 83586152 76888059 825600 930308 91182.86 93846.79 3939.05 2881.71
1669073439 898614942 769430484 238016383 209346617 83586200 76888110 825600 930308 91181.23 93845.51 3939.72 2881.85
1669073450 898614942 769430484 238016383 209346617 83586252 76888159 825600 930308 91178.88 93845.70 3941.54 2882.16
1669073460 898614942 769430484 238016383 209346617 83586300 76888211 825600 930308 91181.92 93845.41 3939.40 2881.59
1669073470 898614942 769430484 238016383 209346617 83586351 76888261 825600 930308 91183.25 93847.95 3938.64 2880.57
1669073480 898614942 769430484 238016383 209346617 83586399 76888311 825600 930308 91184.14 93846.97 3937.83 2880.39
1669073491 898614942 769430484 238016383 209346617 83586449 76888362 825600 930308 91182.24 93847.70 3938.93 2880.16
1669073501 898614942 769430484 238016383 209346617 83586499 76888414 825600 930308 91181.23 93847.11 3940.75 2880.75
1669073511 898614942 769430484 238016383 209346617 83586550 76888462 825600 930308 91183.14 93847.72 3938.18 2880.84
1669073521 898614942 769430484 238016383 209346617 83586601 76888511 825600 930308 91182.25 93848.45 3938.22 2879.52
1669073532 898614942 769430484 238016383 209346617 83586656 76888559 825600 930308 91183.12 93846.65 3938.70 2881.36
1669073542 898614942 769430484 238016383 209346617 83586705 76888610 825600 930308 91181.59 93846.88 3938.80 2881.47
1669073552 898614942 769430484 238016383 209346617 83586754 76888663 825600 930308 91182.99 93847.11 3939.48 2880.79
1669073563 898614942 769430484 238016383 209346617 83586813 76888705 825600 930308 91181.36 93845.93 3939.69 2881.93
1669073573 898614942 769430484 238016383 209346617 83586867 76888750 825600 930308 91181.40 93847.04 3939.57 2880.82
1669073583 898614942 769430484 238016383 209346617 83586920 76888799 825600 930308 91181.45 93846.61 3938.95 2880.77
1669073593 898614942 769430484 238016383 209346617 83586970 76888848 825600 930308 91180.87 93848.55 3939.99 2880.43
1669073604 898614942 769430484 238016383 209346617 83587021 76888900 825600 930308 91183.25 93847.09 3938.07 2881.36
1669073614 898614942 769430484 238016383 209346617 83587071 76888950 825600 930308 91181.62 93847.24 3939.82 2880.12
